park,year,PTP,species,sex,number,survey_class,ecoregion,latitude,longitude,plot,transect,point,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,elev_m,jdate,radius,sound,obsnum
KATM,2005,170390102,GCSP,M,1,FIVE,AP,58.43539953,-155.9192831,17039,1,2,0.0,0.153354633,0.6485623,0.182108626,0.0,0.0,0.0,0.0,281.1417143,133,150.0,0.1,2
KATM,2005,170390102,GCSP,M,1,FIVE,AP,58.43539953,-155.9192831,17039,1,2,0.0,0.153354633,0.6485623,0.182108626,0.0,0.0,0.0,0.0,281.1417143,133,150.0,0.1,2
KATM,2005,170390102,SAVS,M,1,FIVE,AP,58.43539953,-155.9192831,17039,1,2,0.0,0.153354633,0.6485623,0.182108626,0.0,0.0,0.0,0.0,281.1417143,133,150.0,0.1,2
KATM,2005,170390102,SAVS,M,1,FIVE,AP,58.43539953,-155.9192831,17039,1,2,0.0,0.153354633,0.6485623,0.182108626,0.0,0.0,0.0,0.0,281.1417143,133,150.0,0.1,2
KATM,2005,170390102,WCSP,M,1,FIVE,AP,58.43539953,-155.9192831,17039,1,2,0.0,0.153354633,0.6485623,0.182108626,0.0,0.0,0.0,0.0,281.1417143,133,150.0,0.1,2
KATM,2005,172770115,ATSP,M,1,FIVE,AP,58.50602578,-156.1198532,17277,1,15,0.0,0.0,0.560897436,0.253205128,0.092948718,0.0,0.092948718,0.0,121.6793684,132,50.0,0.0,2
KATM,2005,172770115,ATSP,M,1,FIVE,AP,58.50602578,-156.1198532,17277,1,15,0.0,0.0,0.560897436,0.253205128,0.092948718,0.0,0.092948718,0.0,121.6793684,132,50.0,0.0,2
KATM,2005,172770115,SAVS,M,1,FIVE,AP,58.50602578,-156.1198532,17277,1,15,0.0,0.0,0.560897436,0.253205128,0.092948718,0.0,0.092948718,0.0,121.6793684,132,50.0,0.0,2
KATM,2005,172770115,WCSP,M,1,FIVE,AP,58.50602578,-156.1198532,17277,1,15,0.0,0.0,0.560897436,0.253205128,0.092948718,0.0,0.092948718,0.0,121.6793684,132,50.0,0.0,2
KATM,2006,172900301,FOSP,M,1,FIVE,AP,58.74329341,-153.9631783,17290,3,1,0.0,0.0,0.772151899,0.006329114,0.0,0.0,0.0,0.221518987,243.5512421,154,150.0,0.15,1
KATM,2006,172900301,FOSP,M,1,FIVE,AP,58.74329341,-153.9631783,17290,3,1,0.0,0.0,0.772151899,0.006329114,0.0,0.0,0.0,0.221518987,243.5512421,154,150.0,0.15,1
KATM,2006,172900301,HETH,M,1,FIVE,AP,58.74329341,-153.9631783,17290,3,1,0.0,0.0,0.772151899,0.006329114,0.0,0.0,0.0,0.221518987,243.5512421,154,150.0,0.15,1
KATM,2006,172900301,WIPT,M,1,FIVE,AP,58.74329341,-153.9631783,17290,3,1,0.0,0.0,0.772151899,0.006329114,0.0,0.0,0.0,0.221518987,243.5512421,154,150.0,0.15,1
